,,Cooling Load for Various Conditions,,,,Location,,,,"Pipe Diameter (OD or ID, not sure)",,,,,,,Constants,
Load Number,Priority,Shore,Design,Cruise,Battle,X,Y,Z,Max Load,in,,,,,,C,K,kW to ton
,1 = Highest,kW,kW,kW,kW,m,m,m,kW,in,,,,,,ft/sec-in^.5,gpm/ton,kW/ton
81,6,0,12.029,12.029,12.029,27.401,0.000,2.946,12.0291951,1.888278727,,,,,,,,
82,6,0,29.121,28.910,29.121,44.808,0.000,2.946,29.12076,2.689382379,,,,,,,,
83,6,0,36.190,36.190,36.190,93.767,-1.340,2.946,36.18993,2.933638322,,,,,,,,
84,6,0,7.914,7.914,7.914,118.874,-1.670,3.289,7.9143051,1.59711647,,,,,,,,
85,6,0,12.556,12.556,12.556,141.302,-6.860,5.804,12.55569,1.920913049,,,,,,,,
86,6,0,50.645,50.645,50.645,56.860,3.350,14.046,50.6448,3.355717688,,,,,,,,
87,6,0,13.189,13.189,13.189,50.834,2.180,16.586,13.18875,1.959083412,,,,,,,,
88,6,0,6.331,6.331,6.331,75.606,2.010,16.586,6.3306,1.460660962,,,,,,,,
89,6,0,6.331,6.331,6.331,78.284,-2.010,16.586,6.3306,1.460660962,,,,,,,,
90,6,0,4.748,4.748,4.748,77.030,1.840,14.046,4.74795,1.30188891,,,,,,,,
91,6,0,6.331,6.331,6.331,123.560,-2.010,14.046,6.3306,1.460660962,,,,,,,,
92,6,0,4.748,4.748,4.748,27.401,0.000,3.289,4.74795,1.30188891,,,,,,,,
93,7,0,0.422,0.422,0.422,36.105,-1.840,3.289,0.42204,0.494439227,,,,,,,,
94,7,0,0.422,0.422,0.422,36.105,1.840,3.289,0.42204,0.494439227,,,,,,,,
95,7,0,3.271,3.271,3.271,27.401,0.000,3.289,3.27081,1.121588634,,,,,,,,
96,7,0,14.033,14.033,14.033,98.454,-4.850,14.046,14.03283,2.008304579,,,,,,,,
97,7,0,3.165,3.165,3.165,93.767,4.350,11.328,3.1653,1.106974009,,,,,,,,
98,7,0,3.165,3.165,3.165,80.292,-8.200,11.328,3.1653,1.106974009,,,,,,,,
99,7,0,27.434,27.434,27.434,71.589,4.180,5.804,27.4336551,2.62594087,,,,,,,,
100,7,0,5.698,5.698,0.528,66.233,1.510,22.835,5.69754,1.400381698,,,,,,,,
101,7,0,53.073,53.073,1.373,66.233,3.010,16.586,53.0725851,3.419161147,,,,,,,,
102,7,0,29.981,29.981,16.475,55.521,7.530,16.586,29.9806665,2.720871216,,,,,,,,
103,7,0,17.515,17.515,0.000,64.894,-4.690,16.586,17.51466,2.194482679,,,,,,,,
104,7,0,4.009,4.009,0.000,64.894,4.690,16.586,4.00938,1.216752818,,,,,,,,
105,7,0,3.271,3.271,1.055,66.233,-7.700,16.586,3.27081,1.121588634,,,,,,,,
106,7,0,8.230,8.230,4.748,62.216,-8.030,16.586,8.22978,1.622283545,,,,,,,,
107,7,0,2.110,2.110,1.055,61.881,-3.180,16.586,2.1102,0.941241182,,,,,,,,
108,7,0,1.688,1.688,1.055,61.881,2.180,16.586,1.68816,0.860868695,,,,,,,,
109,7,0,4.220,4.220,1.055,58.868,-8.030,16.586,4.2204,1.241975185,,,,,,,,
110,7,0,0.739,0.739,0.000,58.868,-3.180,16.586,0.73857,0.618483529,,,,,,,,
111,7,0,1.688,1.688,1.055,58.868,2.180,16.586,1.68816,0.860868695,,,,,,,,
112,7,0,0.422,0.422,1.055,57.864,-0.500,16.586,1.0551,0.713327426,,,,,,,,
113,7,0,4.009,4.009,1.055,55.521,-3.850,16.586,4.00938,1.216752818,,,,,,,,
114,7,0,2.743,2.743,1.055,55.521,2.680,16.586,2.74326,1.045389807,,,,,,,,
115,7,0,25.111,25.111,0.000,74.352,4.020,5.804,25.11138,2.534659964,,,,,,,,
116,7,0,2.797,2.797,0.687,71.589,4.850,14.046,2.7970701,1.053544328,,,,,,,,
117,7,0,11.555,11.555,2.060,71.589,1.850,14.046,11.5554552,1.858173646,,,,,,,,
118,7,0,4.009,4.009,0.000,76.275,1.850,14.046,4.00938,1.216752818,,,,,,,,
119,7,0,12.346,12.346,1.373,77.279,0.000,8.509,12.3457251,1.907998873,,,,,,,,
120,7,0,178.424,178.424,6.864,39.452,6.860,8.509,178.4237406,5.553317817,,,,,,,,
121,7,0,24.373,24.373,2.638,45.478,5.690,8.509,24.37281,2.504573113,,,,,,,,
122,7,0,4.115,4.115,0.000,39.452,-4.690,8.509,4.11489,1.229461023,,,,,,,,
123,7,0,27.011,27.011,0.000,50.165,-2.510,8.509,27.01056,2.609665885,,,,,,,,
124,7,0,15.404,15.404,1.583,51.838,-4.520,8.509,15.40446,2.084635189,,,,,,,,
125,7,0,1.688,1.688,0.528,41.461,-4.850,8.509,1.68816,0.860868695,,,,,,,,
126,7,0,3.904,3.904,1.055,46.817,0.840,8.509,3.90387,1.203842335,,,,,,,,
127,7,0,3.060,3.060,1.055,50.165,0.000,8.509,3.05979,1.092064077,,,,,,,,
128,7,0,6.964,6.964,4.220,82.301,-3.680,8.509,6.96366,1.517422419,,,,,,,,
129,7,0,40.216,40.216,17.848,71.589,0.000,8.509,40.2161916,3.06007344,,,,,,,,
130,7,0,24.267,24.267,1.055,71.589,-9.540,8.509,24.2673,2.500230545,,,,,,,,
131,7,0,41.043,41.043,0.000,86.987,1.510,8.509,41.04339,3.085096568,,,,,,,,
132,7,0,25.111,25.111,0.000,86.987,-9.710,8.509,25.11138,2.534659964,,,,,,,,
133,7,0,68.167,68.167,62.469,86.987,-4.690,8.509,68.1668457,3.779207625,,,,,,,,
134,7,0,40.727,40.727,0.000,147.328,0.000,5.804,40.72686,3.075557451,,,,,,,,
135,7,0,14.301,14.301,4.805,79.708,-7.870,8.509,14.3008254,2.023559201,,,,,,,,
136,7,0,24.584,24.584,3.693,79.708,-4.850,8.509,24.58383,2.513224534,,,,,,,,
137,7,0,2.005,2.005,0.000,78.369,-9.880,8.509,2.00469,0.922126202,,,,,,,,
138,8,0,13.243,13.243,0.687,93.767,-7.700,8.509,13.2425601,1.962276731,,,,,,,,
139,8,0,30.281,30.281,0.528,103.810,1.670,14.046,30.28137,2.731754586,,,,,,,,
140,8,0,3.482,3.482,1.583,98.454,-2.010,14.046,3.48183,1.14999115,,,,,,,,
141,8,0,5.487,5.487,0.000,100.462,-2.010,14.046,5.48652,1.379400121,,,,,,,,
142,8,0,9.707,9.707,0.000,98.789,-2.010,14.046,9.70692,1.733021909,,,,,,,,
143,8,0,3.165,3.165,0.000,73.013,2.180,5.804,3.1653,1.106974009,,,,,,,,
144,8,0,0.030,0.030,0.030,106.488,7.870,5.804,0.03,0.171719642,,,,,,,,
145,8,0,7.280,7.280,1.055,109.166,1.340,3.289,7.28019,1.544644557,,,,,,,,
146,8,0,6.123,6.123,2.746,39.452,-4.350,5.804,6.1227453,1.441285277,,,,,,,,
147,8,0,62.040,62.040,30.598,93.767,7.030,5.804,62.03988,3.639484319,,,,,,,,
148,8,0,19.574,19.574,2.060,74.601,8.370,5.804,19.5742152,2.294273646,,,,,,,,
149,8,0,2.638,2.638,0.000,80.292,6.190,5.804,2.63775,1.02911741,,,,,,,,
150,8,0,26.064,26.064,2.746,93.767,2.010,5.804,26.0641353,2.572697956,,,,,,,,
151,8,0,52.438,52.438,36.929,93.767,-2.850,5.804,52.43847,3.402761243,,,,,,,,
152,8,0,25.322,25.322,2.638,100.128,1.670,14.046,25.3224,2.543158446,,,,,,,,
153,8,0,21.630,21.630,1.055,93.767,4.180,14.046,21.62955,2.387758867,,,,,,,,
154,8,0,5.064,5.064,0.528,93.767,-7.700,8.509,5.06448,1.335935274,,,,,,,,
155,8,0,30.928,30.928,13.730,96.780,1.670,14.046,30.9281463,2.754945611,,,,,,,,
156,8,0,3.693,3.693,0.000,98.454,1.670,14.046,3.69285,1.177378606,,,,,,,,
157,8,0,2.427,2.427,0.000,109.501,-7.870,5.804,2.42673,0.995359708,,,,,,,,
158,8,0,24.795,24.795,6.331,106.488,-4.350,5.804,24.79485,2.521831511,,,,,,,,
159,8,0,13.927,13.927,3.165,106.488,-5.360,3.289,13.92732,2.002250887,,,,,,,,
160,8,0,7.702,7.702,0.000,125.569,-7.530,5.804,7.70223,1.579858046,,,,,,,,
161,8,0,17.094,17.094,1.373,117.200,-8.700,5.804,17.0936751,2.173229797,,,,,,,,
162,8,0,4.643,4.643,1.373,120.882,-6.360,5.804,4.6434951,1.290355774,,,,,,,,
163,8,0,7.175,7.175,0.000,117.200,-7.530,5.804,7.17468,1.53565086,,,,,,,,
164,8,0,6.964,6.964,0.000,131.929,0.000,5.804,6.96366,1.517422419,,,,,,,,
165,8,0,153.731,153.731,2.746,141.302,4.520,5.804,153.7312353,5.232103418,,,,,,,,
166,8,0,3.219,3.219,0.687,146.658,5.690,5.804,3.2191101,1.114463387,,,,,,,,
167,8,0,4.959,4.959,0.000,45.813,3.180,3.289,4.95897,1.324732116,,,,,,,,
168,8,0,44.314,44.314,16.882,86.987,5.360,3.289,44.3142,3.181182893,,,,,,,,
169,8,0,14.138,14.138,0.000,86.987,-5.360,3.289,14.13834,2.014331023,,,,,,,,
170,8,0,12.450,12.450,3.693,97.115,5.360,3.289,12.45018,1.914439847,,,,,,,,
171,8,0,17.409,17.409,7.386,93.767,-5.360,3.289,17.40915,2.189185182,,,,,,,,
172,8,0,24.584,24.584,9.496,110.505,1.670,3.289,24.58383,2.513224534,,,,,,,,
173,8,0,17.620,17.620,6.331,113.183,7.530,5.804,17.62017,2.199761063,,,,,,,,
174,8,0,7.280,7.280,1.583,120.882,0.000,8.509,7.28019,1.544644557,,,,,,,,
175,8,0,9.022,9.022,0.687,117.200,4.350,5.804,9.0221601,1.683044832,,,,,,,,
176,8,0,15.510,15.510,0.000,119.543,-2.010,14.046,15.50997,2.090334825,,,,,,,,
177,8,0,5.381,5.381,1.055,66.233,4.850,14.046,5.38101,1.368727499,,,,,,,,
178,8,0,6.014,6.014,1.055,119.878,0.000,8.509,6.01407,1.430997465,,,,,,,,
179,8,0,9.496,9.496,0.000,71.923,1.840,14.046,9.4959,1.717852716,,,,,,,,
180,8,0,7.652,7.652,2.060,93.767,7.030,5.804,7.6515852,1.575694577,,,,,,,,
